Release Type,File Name,Game Title,Product Number,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols
Redump,Capcom vs. SNK 2 - Millionaire Fighting 2001 (Japan) (Rev A),CAPCOM VS SNK 2,GDL-0007A,V2.000,20010705,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,2394,GD-ROM1/1,J
Redump,Chaos Field (Japan),CHAOS FIELD,GDL-0025,V1.004,20040602,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,5F44,GD-ROM1/1,J
Redump,DIMM Firm Update (Japan) (Rev A),NAOMI GDROM FIRM UPDATE,GDS-0023A,V1.002,20011228,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,F2FB,GD-ROM1/1,J
Redump,DIMM Firm Update (Japan) (Rev C),NAOMI GDROM FIRM UPDATE,GDS-0023C,V2.000,20020621,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,B3CD,GD-ROM1/1,J
Redump,DIMM Firm Update (Japan) (Rev E),NAOMI GDROM FIRM UPDATE,GDS-0023E,V4.000,20040422,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,FE83,GD-ROM1/1,J
Redump,"Dynamic Golf ~ Virtua Golf (World) (En,Ja) (Rev A)",DYNAMIC GOLF,GDS-0009,V2.002,20010427,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,E750,GD-ROM1/1,J
Redump,Guilty Gear XX - The Midnight Carnival (Japan),GUILTY GEAR XX,GDL-0011,V1.001,20020411,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,22C1,GD-ROM1/1,J
Redump,Guilty Gear XX - The Midnight Carnival Reload (Japan),GUILTY GEAR XX #RELOAD,GDL-0019,V1.001,20030204,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,0B3E,GD-ROM1/1,J
Redump,Guilty Gear XX Accent Core (Japan),GUILTY GEAR XX ACCENT CORE,GDL-0041,V1.002,20061107,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,D0D2,GD-ROM1/1,J
Redump,Guilty Gear XX Slash - The Midnight Carnival (Japan) (Rev A),GUILTY GEAR XX SLASH,GDL-0033A,V2.000,20050825,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,0EB4,GD-ROM1/1,J
Redump,"Keyboard, La (Japan)",LA KEYBOARDXYU,GDS-0017,V1.004,20011001,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,7576,GD-ROM1/1,J
Redump,"Kidou Senshi Gundam - Renpou vs. Zeon (World) (En,Ja)",MOBILE SUIT GUNDAM THE EARTH FEDERATION VS. THE PRINCIPALITY OF ZEON,GDL-0001,V1.000,20010208,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,5DA5,GD-ROM1/1,J
Redump,"Kidou Senshi Gundam - Renpou vs. Zeon DX ~ Mobile Suit Gundam - The Earth Federation vs. The Principality of Zeon Deluxe (USA, Japan) (En,Ja)",MOBILE SUIT GUNDAM DELUXE,GDL-0006,V1.000,20010829,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,EC0E,GD-ROM1/1,J
Redump,"Maze of the Kings, The (World) (En,Ja)",THE_MAZE_OF_THE_KINGS,GDS-0022,V1.001,20020306,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,E3D0,GD-ROM1/1,J
Redump,Melty Blood - Act Cadenza (Japan) (Rev C),MELTY BLOOD AC,GDL-0028C,V4.000,20050707,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,2769,GD-ROM1/1,J
Redump,Melty Blood - Act Cadenza Ver. B (Japan) (Rev A),MELTY BLOOD AC VER B,GDL-0039A,V2.000,20070220,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,E12C,GD-ROM1/1,J
Redump,Melty Blood - Act Cadenza Ver. B (Japan),MELTY BLOOD AC VER B,GDL-0039,V1.003,20061120,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,F5F6,GD-ROM1/1,J
Redump,Monkey Ball (Japan),MONKEY_BALL,GDS-0008,V1.008,20010425,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,43EB,GD-ROM1/1,J
Redump,NouKone Puzzle - Takoron (Japan),TAKORON,GDL-0042,V1.002,20061216,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,FD96,GD-ROM1/1,J
Redump,"Power Smash - Sega Professional Tennis ~ Virtua Tennis - Sega Professional Tennis (World) (En,Ja)",POWERSMASH,GDS-0011,V1.001,20010227,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,7F5B,GD-ROM1/1,J
Redump,Puyo Pop Fever (World),PUYOPOP FEVER,GDS-0034,V1.001,20031102,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,D61D,GD-ROM1/1,J
Redump,Puyo Puyo Fever (Japan),PUYOPUYO FEVER,GDS-0031,V1.004,20031025,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,F174,GD-ROM1/1,J
Redump,Radirgy (Japan),RADIRGY,GDL-0032,V1.001,20050711,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,D10F,GD-ROM1/1,J
Redump,Senko no Ronde (Japan) (Rev A),SENKO NO RONDE,GDL-0030A,V2.001,20050704,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,33D1,GD-ROM1/1,J
Redump,Senko no Ronde (Japan),SENKO NO RONDE,GDL-0030,V1.001,20050329,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,1768,GD-ROM1/1,J
Redump,Shikigami no Shiro II (Japan),NAOMI GDROM SHIKIGAMI2,GDL-0021,V1.000,20030307,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,832F,GD-ROM1/1,J
Redump,"Slashout (World) (En,Ja)",SLASHOUT,GDS-0004,V1.000,20001101,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,77F3,GD-ROM1/1,J
Redump,"Spikers Battle (World) (En,Ja)",SPIKERSBATTLE,GDS-0005,V1.002,20010208,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,BC92,GD-ROM1/1,J
Redump,Sports Jam (Japan),SPORTS JAM,GDS-0003,V1.005,20001113,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,96FD,GD-ROM1/1,J
Redump,Street Fighter Zero 3 Upper (Japan),STREET FIGHTER ZERO3 UPPER,GDL-0002,V1.001,20010111,Japan/Asia,"CAPCOM CO.,LTD.",SEGA SEGAKATANA,SEGA ENTERPRISES,60C0,GD-ROM1/1,J
Redump,Super Shanghai 2005 (Japan) (Rev A),SUPER SHANGHAI 2005,GDL-0031A,V2.001,20050706,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,D8F2,GD-ROM1/1,J
Redump,Super Shanghai 2005 (Japan),SUPER SHANGHAI 2005,GDL-0031,V1.001,20050328,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,FC4B,GD-ROM1/1,J
Redump,Tetris Kiwamemichi (Japan),TETRIS KIWAMEMICHI,GDL-0020,V1.003,20040423,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,586F,GD-ROM1/1,J
Redump,Virtua Athletics ~ Virtua Athlete (World),VIRTUAATHLETE/VIRTUAATHLETICS,GDS-0019,V1.003,20011126,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,76E6,GD-ROM1/1,J
